Sample ID,Sample Details,Test,Results,Units,Absorbance,Date and Time,Operator,Pre Dil Factor,Auto Dil Factor
C C V,,Nitrate+Nitrite 2,0.085,mg N/L,0.03399,Tue Feb 09 10:28:08 2016,mdm,1,1
C C B ,,Nitrate+Nitrite 2,0.002,mg N/L,0.006487,Tue Feb 09 10:30:14 2016,mdm,1,1
Price_1_6,,Nitrate+Nitrite 2,2.885,mg N/L,0.218258,Tue Feb 09 10:32:20 2016,mdm,2,2
Price_1_7,,Nitrate+Nitrite 2,2.877,mg N/L,0.217728,Tue Feb 09 10:34:25 2016,mdm,2,2
Price_1_8,,Nitrate+Nitrite 2,2.791,mg N/L,0.211866,Tue Feb 09 10:36:31 2016,mdm,2,2
Price_1_9,,Nitrate+Nitrite 2,2.432,mg N/L,0.1872,Tue Feb 09 10:38:37 2016,mdm,2,2
Price_1_10,,Nitrate+Nitrite 2,2.746,mg N/L,0.208794,Tue Feb 09 10:40:43 2016,mdm,2,2
Price_1_11,,Nitrate+Nitrite 2,3.226,mg N/L,0.241497,Tue Feb 09 10:42:49 2016,mdm,2,2
Price_1_12,,Nitrate+Nitrite 2,2.9,mg N/L,0.219265,Tue Feb 09 10:44:55 2016,mdm,2,2
Price_1_13,,Nitrate+Nitrite 2,3.305,mg N/L,0.246894,Tue Feb 09 10:47:00 2016,mdm,2,2
Price_1_14,,Nitrate+Nitrite 2,2.674,mg N/L,0.203821,Tue Feb 09 10:49:06 2016,mdm,2,2
Price_1_15,,Nitrate+Nitrite 2,2.548,mg N/L,0.195206,Tue Feb 09 10:51:12 2016,mdm,2,2
C C V,,Nitrate+Nitrite 2,0.083,mg N/L,0.033287,Tue Feb 09 10:53:17 2016,mdm,1,1
C C B ,,Nitrate+Nitrite 2,-0.001,mg N/L,0.005476,Tue Feb 09 10:55:21 2016,mdm,1,1
Price_1_16,,Nitrate+Nitrite 2,2.627,mg N/L,0.200644,Tue Feb 09 10:57:27 2016,mdm,2,2
Price_1_17,,Nitrate+Nitrite 2,1.959,mg N/L,0.154341,Tue Feb 09 10:59:32 2016,mdm,2,2
Price_1_18,,Nitrate+Nitrite 2,1.979,mg N/L,0.155718,Tue Feb 09 11:01:38 2016,mdm,2,2
Price_1_19,,Nitrate+Nitrite 2,2.313,mg N/L,0.179021,Tue Feb 09 11:03:43 2016,mdm,2,2
Price_1_20,,Nitrate+Nitrite 2,2.094,mg N/L,0.163811,Tue Feb 09 11:05:48 2016,mdm,2,2
Price_1_21,,Nitrate+Nitrite 2,1.951,mg N/L,0.153751,Tue Feb 09 11:07:54 2016,mdm,2,2
Price_1_22,,Nitrate+Nitrite 2,2.026,mg N/L,0.159068,Tue Feb 09 11:09:59 2016,mdm,2,2
Price_1_23,,Nitrate+Nitrite 2,1.946,mg N/L,0.153414,Tue Feb 09 11:12:04 2016,mdm,2,2
Price_1_24,,Nitrate+Nitrite 2,2.262,mg N/L,0.175462,Tue Feb 09 11:14:09 2016,mdm,2,2
Price_1_blk,,Nitrate+Nitrite 2,0.187,mg N/L,0.036639,Tue Feb 09 11:16:14 2016,mdm,2,1
C C V,,Nitrate+Nitrite 2,0.084,mg N/L,0.033542,Tue Feb 09 11:18:17 2016,mdm,1,1
C C B ,,Nitrate+Nitrite 2,0.001,mg N/L,0.005999,Tue Feb 09 11:20:23 2016,mdm,1,1
Tres Rios 1762,,Nitrate+Nitrite 2,7.794,mg N/L,0.613039,Tue Feb 09 11:22:29 2016,mdm,2,2
Tres Rios 1763,,Nitrate+Nitrite 2,7.653,mg N/L,0.595077,Tue Feb 09 11:23:23 2016,mdm,2,2
Tres Rios 1764,,Nitrate+Nitrite 2,8.496,mg N/L,0.414453,Tue Feb 09 11:50:11 2016,mdm,2,2.99
Tres Rios 1765,,Nitrate+Nitrite 2,7.064,mg N/L,0.531628,Tue Feb 09 11:25:12 2016,mdm,2,2
Tres Rios 1766,,Nitrate+Nitrite 2,7.515,mg N/L,0.578725,Tue Feb 09 11:26:07 2016,mdm,2,2
Tres Rios 1767,,Nitrate+Nitrite 2,6.171,mg N/L,0.453242,Tue Feb 09 11:27:01 2016,mdm,2,2
Control A,,Nitrate+Nitrite 2,92.529,mg N/L,0.273948,Tue Feb 09 11:27:56 2016,mdm,2,50
Control B,,Nitrate+Nitrite 2,83.942,mg N/L,0.250504,Tue Feb 09 11:28:50 2016,mdm,4,25
Digested Blank,,Nitrate+Nitrite 2,0.146,mg N/L,0.029978,Tue Feb 09 11:29:45 2016,mdm,2,1
C C V,,Nitrate+Nitrite 2,0.085,mg N/L,0.033944,Tue Feb 09 11:30:40 2016,mdm,1,1
C C B ,,Nitrate+Nitrite 2,0.029,mg N/L,0.015439,Tue Feb 09 11:31:35 2016,mdm,1,1
CCV,,Nitrate+Nitrite 2,0.087,mg N/L,0.034666,Tue Feb 09 11:48:21 2016,mdm,1,1
CCB,,Nitrate+Nitrite 2,-0.004,mg N/L,0.004314,Tue Feb 09 11:49:16 2016,mdm,1,1
CCV,,Nitrate+Nitrite 2,0.085,mg N/L,0.033962,Tue Feb 09 11:51:05 2016,mdm,1,1
CCB,,Nitrate+Nitrite 2,-0.005,mg N/L,0.004058,Tue Feb 09 11:52:00 2016,mdm,1,1
