,date,month,year,marsh_shore_doc,marsh_shore_doc_se,marsh_shore_no2,marsh_shore_no2_se,marsh_shore_no3,marsh_shore_no3_se,marsh_shore_nh4,marsh_shore_nh4_se,marsh_shore_po4,marsh_shore_po4_se,marsh_shore_cl,marsh_shore_cl_se,marsh_shore_cond,marsh_shore_cond_se,marsh_shore_spec_cond,marsh_shore_spec_cond_se,marsh_shore_temperature_c,marsh_shore_temperature_se,marsh_shore_ph,marsh_water_doc,marsh_water_doc_se,marsh_water_no2,marsh_water_no2_se,marsh_water_no3,marsh_water_no3_se,marsh_water_nh4,marsh_water_nh4_se,marsh_water_po4,marsh_water_po4_se,marsh_water_cl,marsh_water_cl_se,marsh_water_cond,marsh_water_cond_se,marsh_water_spec_cond,marsh_water_spec_cond_se,marsh_water_temperature_c,marsh_water_temperature_se,marsh_water_ph
31,7/1/16,7,2016,17.30333333,1.000138879,0.01798,0.00976977,0.059196667,0.033009847,0.300333333,0.047949047,210,49.65212315,37.2,5.202883816,2951,207.447182,2912.333333,195.3051743,25.16666667,NA,NA,9.152666667,0.745849925,0.252,0.009643651,2.873333333,0.119210365,0.543,0.137077837,198,14.84362939,43.9,0.493288286,2476.666667,15.07020607,2250.666667,10.58825345,30.3,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,9/1/16,9,2016,NA,NA,0.0712,0.032035813,0.155666667,0.066242819,1.230333333,0.438375917,153.6333333,54.66596544,32.8,1.18462371,2590.666667,126.3808178,2647.666667,135.0868034,23.86666667,NA,NA,NA,NA,0.291,0.053891867,2.266666667,0.22578259,1.034,0.1478152,232.6666667,6.333333333,28.86666667,2.130988294,2346.333333,31.99131827,2201.333333,36.35167733,28.63333333,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,11/1/16,11,2016,NA,NA,0.105333333,0.036662121,0.546333333,0.213644825,0.613666667,0.128613547,NA,NA,NA,NA,1867.666667,178.3791218,2288.333333,239.7153404,19.2,NA,NA,NA,NA,0.231333333,0.006489307,3.103333333,0.194707758,1.243333333,0.062271806,NA,NA,NA,NA,1567.333333,32.51837088,1570.666667,8.950481055,24.9,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1/1/17,1,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,3/1/17,3,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,5/1/17,5,2017,NA,NA,0.020453333,0.011629711,0.288633333,0.23076476,0.148833333,0.060144502,284.3333333,18.20561574,27.26666667,0.768837506,1777.333333,44.58076317,1905.333333,36.978973,21.66666667,NA,NA,NA,NA,0.118533333,0.015308531,2.243333333,0.283450956,0.389666667,0.155623834,284.6666667,13.48249894,27.7,1.724335621,2011.333333,44.10719266,1914.666667,38.22012268,27.76666667,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,7/1/17,7,2017,NA,NA,0.06209,0.029457163,0.5146,0.263597597,0.306333333,0.105921879,217,26.21068484,17.5,1.357694124,2523,123.710684,2249.333333,55.42963507,27.5,NA,NA,NA,NA,0.126666667,0.002333333,3.786666667,0.103976493,0.548666667,0.087392474,195.3333333,21.60504056,17.36666667,3.164560703,2389.333333,8.29323687,2133,7.094598885,31.33333333,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,9/1/17,9,2017,NA,NA,0.0442,0.009063296,1.208333333,0.453967082,0.066866667,0.034512671,268.3333333,4.666666667,41.33333333,1.333333333,1858,38.22302971,2157,53.9845657,17.66666667,NA,NA,NA,NA,0.089533333,0.004280706,3.713333333,0.133458275,0.332333333,0.057521976,269.6666667,8.212456663,37.6,1.12398102,2114.666667,22.48209164,2043.666667,9.279607271,26.86666667,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,11/1/17,11,2017,7.432666667,0.149102128,0.043966667,0.017207104,1.566666667,0.648082642,0.105666667,0.046591606,142,9.291573243,14.83333333,1.238726945,1305.666667,22.06304099,1617.333333,29.79000578,14.96666667,NA,NA,6.768,0.30618023,0.134333333,0.004333333,3.776666667,0.661824079,0.898666667,0.028620117,129.3333333,6.691619967,14.23333333,0.926162933,1548.333333,22.15350486,1563.666667,4.409585518,24.5,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1/1/18,1,2018,8.251333333,0.722381786,0.119833333,0.039136868,1.373,0.496822235,0.266666667,0.026995884,138,10.78579312,23.4,2.579405616,1219.666667,69.66666667,1780.666667,91.52473861,8.433333333,NA,NA,7.534333333,0.265475883,0.204333333,0.015387585,2.326666667,0.031797973,1.533333333,0.076230644,133.6666667,9.683892698,22.36666667,0.317979734,1382.666667,30.80223657,1539,6.806859286,19.73333333,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2/1/18,2,2018,NA,NA,NA,NA,NA,NA,0.473333333,0.305645946,258,4,25.6,0.871779789,1171.333333,92.51005951,1842,103.9663407,5.866666667,NA,NA,NA,NA,NA,NA,NA,NA,0.599033333,0.259152596,258.3333333,22.78400999,25.6,4.387862046,1428,12.12435565,1598,10.0166528,19.43333333,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,3/1/18,3,2018,11.76133333,1.057560925,0.019021,0.012495158,NA,NA,NA,NA,328.3333333,12.01850425,27.36666667,1.669663972,1266.666667,100.5142334,1662,107.6769861,12.5,NA,NA,7.487666667,0.164647435,0.128333333,0.009061518,NA,NA,NA,NA,264.3333333,7.218802609,25.46666667,1.225198397,1407.666667,42.72912096,1518.333333,30.83468466,21,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,4/1/18,4,2018,NA,NA,0.033876667,0.016421801,NA,NA,NA,NA,NA,NA,NA,NA,1793,18.33030278,2106,19.50213664,17.16666667,NA,NA,NA,NA,0.171333333,0.009386752,NA,NA,NA,NA,NA,NA,NA,NA,1976,12.85820101,1989,18.58314649,24.66666667,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,5/1/18,5,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1860,43.48562981,2182,34.94757979,17.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2134,2.081665999,2100.666667,14.26339526,26.13333333,NA,NA
